Country/Region,Date,Number of confirmed cases
France,1/22/20,0
Italy,1/22/20,0
US,1/22/20,1
Vietnam,1/22/20,0
France,1/23/20,0
Italy,1/23/20,0
US,1/23/20,1
Vietnam,1/23/20,2
France,1/24/20,2
Italy,1/24/20,0
US,1/24/20,2
Vietnam,1/24/20,2
France,1/25/20,3
Italy,1/25/20,0
US,1/25/20,2
Vietnam,1/25/20,2
France,1/26/20,3
Italy,1/26/20,0
US,1/26/20,5
Vietnam,1/26/20,2
France,1/27/20,3
Italy,1/27/20,0
US,1/27/20,5
Vietnam,1/27/20,2
France,1/28/20,4
Italy,1/28/20,0
US,1/28/20,5
Vietnam,1/28/20,2
France,1/29/20,5
Italy,1/29/20,0
US,1/29/20,6
Vietnam,1/29/20,2
France,1/30/20,5
Italy,1/30/20,0
US,1/30/20,6
Vietnam,1/30/20,2
France,1/31/20,5
Italy,1/31/20,2
US,1/31/20,8
Vietnam,1/31/20,2
France,2/1/20,6
Italy,2/1/20,2
US,2/1/20,8
Vietnam,2/1/20,6
France,2/2/20,6
Italy,2/2/20,2
US,2/2/20,8
Vietnam,2/2/20,6
France,2/3/20,6
Italy,2/3/20,2
US,2/3/20,11
Vietnam,2/3/20,8
France,2/4/20,6
Italy,2/4/20,2
US,2/4/20,11
Vietnam,2/4/20,8
France,2/5/20,6
Italy,2/5/20,2
US,2/5/20,11
Vietnam,2/5/20,8
France,2/6/20,6
Italy,2/6/20,2
US,2/6/20,12
Vietnam,2/6/20,10
France,2/7/20,6
Italy,2/7/20,3
US,2/7/20,12
Vietnam,2/7/20,10
France,2/8/20,11
Italy,2/8/20,3
US,2/8/20,12
Vietnam,2/8/20,13
France,2/9/20,11
Italy,2/9/20,3
US,2/9/20,12
Vietnam,2/9/20,13
France,2/10/20,11
Italy,2/10/20,3
US,2/10/20,12
Vietnam,2/10/20,14
France,2/11/20,11
Italy,2/11/20,3
US,2/11/20,13
Vietnam,2/11/20,15
France,2/12/20,11
Italy,2/12/20,3
US,2/12/20,13
Vietnam,2/12/20,15
France,2/13/20,11
Italy,2/13/20,3
US,2/13/20,14
Vietnam,2/13/20,16
France,2/14/20,11
Italy,2/14/20,3
US,2/14/20,14
Vietnam,2/14/20,16
France,2/15/20,12
Italy,2/15/20,3
US,2/15/20,14
Vietnam,2/15/20,16
France,2/16/20,12
Italy,2/16/20,3
US,2/16/20,14
Vietnam,2/16/20,16
France,2/17/20,12
Italy,2/17/20,3
US,2/17/20,14
Vietnam,2/17/20,16
France,2/18/20,12
Italy,2/18/20,3
US,2/18/20,14
Vietnam,2/18/20,16
France,2/19/20,12
Italy,2/19/20,3
US,2/19/20,14
Vietnam,2/19/20,16
France,2/20/20,12
Italy,2/20/20,3
US,2/20/20,14
Vietnam,2/20/20,16
France,2/21/20,12
Italy,2/21/20,20
US,2/21/20,16
Vietnam,2/21/20,16
France,2/22/20,12
Italy,2/22/20,62
US,2/22/20,16
Vietnam,2/22/20,16
France,2/23/20,12
Italy,2/23/20,155
US,2/23/20,16
Vietnam,2/23/20,16
France,2/24/20,12
Italy,2/24/20,229
US,2/24/20,16
Vietnam,2/24/20,16
France,2/25/20,14
Italy,2/25/20,322
US,2/25/20,16
Vietnam,2/25/20,16
France,2/26/20,18
Italy,2/26/20,453
US,2/26/20,16
Vietnam,2/26/20,16
France,2/27/20,38
Italy,2/27/20,655
US,2/27/20,17
Vietnam,2/27/20,16
France,2/28/20,57
Italy,2/28/20,888
US,2/28/20,17
Vietnam,2/28/20,16
France,2/29/20,100
Italy,2/29/20,1128
US,2/29/20,25
Vietnam,2/29/20,16
France,3/1/20,130
Italy,3/1/20,1694
US,3/1/20,32
Vietnam,3/1/20,16
France,3/2/20,191
Italy,3/2/20,2036
US,3/2/20,55
Vietnam,3/2/20,16
France,3/3/20,212
Italy,3/3/20,2502
US,3/3/20,74
Vietnam,3/3/20,16
France,3/4/20,288
Italy,3/4/20,3089
US,3/4/20,107
Vietnam,3/4/20,16
France,3/5/20,426
Italy,3/5/20,3858
US,3/5/20,184
Vietnam,3/5/20,16
France,3/6/20,616
Italy,3/6/20,4636
US,3/6/20,237
Vietnam,3/6/20,16
France,3/7/20,948
Italy,3/7/20,5883
US,3/7/20,403
Vietnam,3/7/20,18
France,3/8/20,1125
Italy,3/8/20,7375
US,3/8/20,519
Vietnam,3/8/20,30
France,3/9/20,1411
Italy,3/9/20,9172
US,3/9/20,594
Vietnam,3/9/20,30
France,3/10/20,1783
Italy,3/10/20,10149
US,3/10/20,782
Vietnam,3/10/20,31
France,3/11/20,2293
Italy,3/11/20,12462
US,3/11/20,1147
Vietnam,3/11/20,38
France,3/12/20,2293
Italy,3/12/20,15113
US,3/12/20,1586
Vietnam,3/12/20,39
France,3/13/20,3681
Italy,3/13/20,17660
US,3/13/20,2219
Vietnam,3/13/20,47
France,3/14/20,4496
Italy,3/14/20,21157
US,3/14/20,2978
Vietnam,3/14/20,53
France,3/15/20,4532
Italy,3/15/20,24747
US,3/15/20,3212
Vietnam,3/15/20,56
France,3/16/20,6683
Italy,3/16/20,27980
US,3/16/20,4679
Vietnam,3/16/20,61
France,3/17/20,7715
Italy,3/17/20,31506
US,3/17/20,6512
Vietnam,3/17/20,66
France,3/18/20,9124
Italy,3/18/20,35713
US,3/18/20,9169
Vietnam,3/18/20,75
France,3/19/20,10970
Italy,3/19/20,41035
US,3/19/20,13663
Vietnam,3/19/20,85
France,3/20/20,12758
Italy,3/20/20,47021
US,3/20/20,20030
Vietnam,3/20/20,91
France,3/21/20,14463
Italy,3/21/20,53578
US,3/21/20,26025
Vietnam,3/21/20,94
France,3/22/20,16761
Italy,3/22/20,59138
US,3/22/20,34944
Vietnam,3/22/20,113
France,3/23/20,20120
Italy,3/23/20,63927
US,3/23/20,46096
Vietnam,3/23/20,123
France,3/24/20,22372
Italy,3/24/20,69176
US,3/24/20,56714
Vietnam,3/24/20,134
France,3/25/20,25331
Italy,3/25/20,74386
US,3/25/20,68841
Vietnam,3/25/20,141
France,3/26/20,29252
Italy,3/26/20,80589
US,3/26/20,86662
Vietnam,3/26/20,153
France,3/27/20,33045
Italy,3/27/20,86498
US,3/27/20,105253
Vietnam,3/27/20,163
France,3/28/20,37693
Italy,3/28/20,92472
US,3/28/20,127417
Vietnam,3/28/20,174
France,3/29/20,40296
Italy,3/29/20,97689
US,3/29/20,143544
Vietnam,3/29/20,188
France,3/30/20,44645
Italy,3/30/20,101739
US,3/30/20,165698
Vietnam,3/30/20,203
France,3/31/20,52281
Italy,3/31/20,105792
US,3/31/20,192079
Vietnam,3/31/20,212
France,4/1/20,57125
Italy,4/1/20,110574
US,4/1/20,227903
Vietnam,4/1/20,218
France,4/2/20,59227
Italy,4/2/20,115242
US,4/2/20,260183
Vietnam,4/2/20,233
France,4/3/20,64452
Italy,4/3/20,119827
US,4/3/20,292630
Vietnam,4/3/20,237
France,4/4/20,47376
Italy,4/4/20,124632
US,4/4/20,324340
Vietnam,4/4/20,240
France,4/5/20,48225
Italy,4/5/20,128948
US,4/5/20,353117
Vietnam,4/5/20,241
France,4/6/20,50884
Italy,4/6/20,132547
US,4/6/20,385110
Vietnam,4/6/20,245
France,4/7/20,47395
Italy,4/7/20,135586
US,4/7/20,415256
Vietnam,4/7/20,249
France,4/8/20,51250
Italy,4/8/20,139422
US,4/8/20,446500
Vietnam,4/8/20,251
France,4/9/20,55034
Italy,4/9/20,143626
US,4/9/20,482526
Vietnam,4/9/20,255
France,4/10/20,56600
Italy,4/10/20,147577
US,4/10/20,516707
Vietnam,4/10/20,257
France,4/11/20,58045
Italy,4/11/20,152271
US,4/11/20,545693
Vietnam,4/11/20,258
France,4/12/20,108792
Italy,4/12/20,156363
US,4/12/20,571551
Vietnam,4/12/20,262
France,4/13/20,111933
Italy,4/13/20,159516
US,4/13/20,598794
Vietnam,4/13/20,265
France,4/14/20,129381
Italy,4/14/20,162488
US,4/14/20,627306
Vietnam,4/14/20,266
France,4/15/20,132588
Italy,4/15/20,165155
US,4/15/20,653669
Vietnam,4/15/20,267
France,4/16/20,145166
Italy,4/16/20,168941
US,4/16/20,683351
Vietnam,4/16/20,268
France,4/17/20,147057
Italy,4/17/20,172434
US,4/17/20,716508
Vietnam,4/17/20,268
France,4/18/20,150861
Italy,4/18/20,175925
US,4/18/20,743857
Vietnam,4/18/20,268
France,4/19/20,151955
Italy,4/19/20,178972
US,4/19/20,768888
Vietnam,4/19/20,268
France,4/20/20,154402
Italy,4/20/20,181228
US,4/20/20,799531
Vietnam,4/20/20,268
France,4/21/20,157068
Italy,4/21/20,183957
US,4/21/20,825478
Vietnam,4/21/20,268
France,4/22/20,158867
Italy,4/22/20,187327
US,4/22/20,855445
Vietnam,4/22/20,268
France,4/23/20,157158
Italy,4/23/20,189973
US,4/23/20,887523
Vietnam,4/23/20,268
France,4/24/20,159969
Italy,4/24/20,192994
US,4/24/20,919014
Vietnam,4/24/20,270
France,4/25/20,161647
Italy,4/25/20,195351
US,4/25/20,949640
Vietnam,4/25/20,270
France,4/26/20,162280
Italy,4/26/20,197675
US,4/26/20,975537
Vietnam,4/26/20,270
France,4/27/20,165966
Italy,4/27/20,199414
US,4/27/20,1000230
Vietnam,4/27/20,270
France,4/28/20,169098
Italy,4/28/20,201505
US,4/28/20,1024834
Vietnam,4/28/20,270
France,4/29/20,167643
Italy,4/29/20,203591
US,4/29/20,1051643
Vietnam,4/29/20,270
France,4/30/20,168861
Italy,4/30/20,205463
US,4/30/20,1081150
Vietnam,4/30/20,270
France,5/1/20,169387
Italy,5/1/20,207428
US,5/1/20,1115972
Vietnam,5/1/20,270
